Code,Lat,Long,Families,Population,MTN,MCI
310330,36.740747,53.964223,628,1883,100,100
320641,36.998885,54.134336,35,129,100,97.58
320644,37.093001,54.070422,118,449,100,100
320667,36.889835,54.215706,91,352,66.04,82.34
320675,36.90292,54.163355,59,198,100,100
320679,36.950845,54.139624,41,154,100,86.65
320706,37.127398,54.247746,99,383,99.51,94.02
320707,37.118667,54.176052,21,86,97.55,95.93
320708,37.141098,54.221187,196,710,100,99.59
320712,37.093051,54.310047,79,306,83,78.48
320717,36.980502,54.340341,180,637,100,98.41
320724,36.977954,54.303171,86,314,98.62,100
320725,36.984087,54.297145,153,535,100,100
320727,36.995536,54.259427,62,223,91.31,100
320761,37.003317,54.243147,64,266,100,99.55
322372,36.949072,54.731159,124,426,85.86,100
322389,36.962716,54.769802,100,326,100,97.51
322465,36.774498,54.000001,85,307,99.5,90.44
322498,36.942385,54.857761,376,1426,100,100
322499,36.940052,54.901597,693,2843,100,100
322513,36.983192,54.810884,91,303,80.22,82.47
322864,36.85791,54.209428,58,189,100,100
322877,36.795917,54.239318,860,2601,100,100
322957,36.774498,54.000001,207,714,100,59.25
322970,36.766536,53.99196,297,960,100,100
322998,36.792856,54.014022,82,269,100,100
323030,37.201311,54.696308,195,735,96.27,82.41
323031,37.191323,54.732975,110,347,100,98.04
323033,36.885531,54.79162,141,468,99.82,83.01
323036,37.230487,54.72323,338,1255,100,100
323037,37.228265,54.713078,413,1561,100,99.72
323038,37.247875,54.69856,43,152,100,93.38
323039,37.213557,54.688158,342,1405,99.42,98.58
323040,37.225655,54.672662,276,1108,99.41,98.35
323041,37.24193,54.636417,133,513,80.18,100
323044,37.182358,54.656919,276,968,57.8,40.5
323053,37.120828,54.648637,35,131,100,100
323088,36.929138,54.338348,56,204,98.84,100
323095,36.981292,54.593239,128,458,98.58,100
323096,36.971564,54.619581,219,754,100,99.79
323099,36.984881,54.580903,403,1539,83.74,77.72
323117,36.957219,54.591182,405,1366,82.5,99.67
323118,36.948408,54.602115,50,174,98.24,99.17
323129,36.884431,54.664559,325,1012,100,99.56
323212,36.936139,54.826985,266,866,70.85,93.81
323213,37.115079,54.821799,202,743,75.76,72.1
323403,36.907399,54.374481,257,902,99.56,72.72
323429,36.82093,54.419482,570,2189,100,75
323692,36.857238,54.524555,472,1622,100,97.35
323730,36.794626,54.571415,104,377,45.89,79.71
323737,37.94009,55.336503,22,92,0,100
323740,37.305967,55.156554,70,260,97.61,100
323745,37.433613,55.217606,171,658,62.89,32.41
323756,37.32861,55.152813,34,154,88.2,90.97
323763,37.299726,55.13717,58,239,94.04,100
323764,37.365384,55.294878,289,1180,100,87.1
323765,37.366853,55.296276,366,1433,100,93.91
323766,37.378079,55.301877,314,1209,100,100
323773,37.2907,55.228571,362,1311,96.04,100
323778,37.413268,55.363021,132,480,100,100
323784,37.571319,54.834259,127,456,0,100
323788,37.771636,54.952647,89,320,100,98.34
323789,37.778804,54.964222,166,591,100,26.7
324026,37.218261,55.088664,79,305,100,100
324027,37.235781,55.080409,245,909,100,98.88
324034,37.262883,55.142068,373,1456,100,100
324035,37.273572,55.137642,429,1695,100,100
324036,37.229876,55.127405,562,2185,95,92.56
324037,37.238805,55.129861,302,1106,100,95.2
324041,36.933415,54.914649,174,584,98.99,95.78
324042,37.130703,54.999025,153,510,100,88.22
324050,37.084517,54.941707,194,769,97.59,79.84
324056,37.10135,54.916838,45,153,100,100
324057,37.095067,54.928245,43,141,96.91,89.78
324075,37.062992,54.896076,193,670,54.52,87.59
324080,37.164361,54.968509,465,1778,100,100
324085,37.175603,54.960849,105,435,100,100
324102,37.185173,54.839244,59,212,99.48,92.6
324103,37.182745,54.870554,138,464,87.97,96.57
324104,37.188491,54.908107,54,183,100,84.21
324106,37.231348,54.7576,455,1622,100,97.8
324109,37.246868,54.885386,144,510,84.16,87.11
324110,37.235259,54.868898,138,564,99.99,96.29
324111,37.245886,54.859146,57,176,64.87,93.85
324113,37.233688,54.831065,61,233,86.55,80.43
324114,37.24409,54.803247,175,665,99.61,90.22
324115,37.223464,54.784102,71,254,99.28,100
324116,37.229784,54.782492,65,225,98.82,86.78
324117,37.226891,54.793411,69,267,98.26,97.62
324121,37.157759,54.788425,165,696,99.56,92.18
324141,37.143359,55.028917,142,465,100,100
324159,37.056056,55.315908,96,332,68.75,100
324178,36.933415,54.914649,39,128,100,100
324193,36.910036,55.467742,127,410,0,100
324209,37.11951,55.139689,97,309,56.72,87.64
324215,37.188537,55.134004,341,1259,94.1,70.14
324249,37.159908,55.11889,75,258,63.4,100
324269,36.933415,54.914649,860,2848,100,88.05
324274,36.996663,54.93212,154,559,100,100
324278,37.023436,54.912064,70,206,100,100
324292,37.042602,54.917248,423,1524,91.57,100
324320,37.062992,54.896076,639,2341,100,94.07
324321,36.954858,54.944735,1174,4568,100,97.77
324322,36.959841,54.945745,628,2452,100,100
324334,36.975317,54.963888,330,1236,100,100
324336,36.973518,54.964364,158,506,99.69,100
324343,36.931971,55.124514,29,98,100,95.1
324440,37.102465,55.080829,102,370,97.54,100
324441,37.105765,55.075759,113,401,98.52,100
324442,37.097131,55.088693,91,295,100,100
324466,36.969479,54.643448,368,1305,100,100
324917,37.668697,55.800292,132,483,0,96.19
324919,37.685532,55.837998,166,602,100,89.34
324921,37.631972,55.928369,48,168,0,94.98
324922,37.87753,55.806492,27,74,100,100
324923,37.616065,55.965382,131,479,99.35,100
324924,37.661326,55.969098,191,716,0,100
324925,37.657526,55.990558,88,323,0,0
324932,37.625775,55.81822,169,627,0,100
324933,37.628636,55.846876,222,842,0,98.88
324935,37.468859,54.895687,82,294,22.68,94.71
324939,37.641097,55.914746,107,390,0,74.52
324941,37.666451,55.894318,59,212,63.33,92.17
324942,37.684329,55.92787,33,139,0,57.51
324943,37.728035,55.890095,58,214,81.58,78.42
324954,37.812711,55.917486,69,285,40.44,47.3
324957,37.762541,55.850392,21,83,14.5,80.5
324958,37.917848,56.051509,169,642,93.48,100
324959,37.911392,56.072735,110,402,0,98.28
324962,37.902135,56.09066,74,319,100,100
324964,37.913356,56.101091,210,870,0,100
324968,37.998744,56.215414,81,310,0,90.7
324969,38.060519,56.160307,46,172,0,99.72
324971,37.895848,55.920942,58,218,100,85.03
324973,37.869828,55.832731,41,140,90.13,17.28
324981,37.911342,55.740051,117,402,97.01,98.13
324987,37.919487,55.651116,129,496,97.37,98.32
324989,37.918688,55.632153,223,863,98.13,100
324990,37.924349,55.614223,115,492,99.7,100
